category_id,name,subtitle,icon_key,budget_amount,rate_min,rate_max,audience_segments,rule_id,status,avg_cb_percent,clients_with_category
21d28ad9-f731-4a2a-ac93-694628c8dc6f,Лотереи,Кэшбэк за покупки в категории «Лотереи»,games,223,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
e358f35f-74de-4b54-88d2-1bb72579800d,Маркетплейсы,Кэшбэк за покупки в категории «Маркетплейсы»,retail,229,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
24d05cc8-ddd6-4310-87db-a74c10a1cde7,Медицина,Кэшбэк за покупки в категории «Медицина»,pharma,236,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
885d1364-9632-4f8f-a798-b1696cb93451,Местный транспорт,Кэшбэк за покупки в категории «Местный транспорт»,services,242,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
ca0704b0-4f52-4cd6-bc3a-619b789537ce,Металлы в слитках,Кэшбэк за покупки в категории «Металлы в слитках»,tech,248,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
4d87daa2-68ad-4321-b54b-ca831472dfd3,Мобильная связь,Кэшбэк за покупки в категории «Мобильная связь»,services,255,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
999fa77c-bca5-44b7-ab94-4fe4e1816009,Музыка,Кэшбэк за покупки в категории «Музыка»,games,261,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
ebbfdc7c-7679-491c-8587-4706cd788549,НКО,Кэшбэк за покупки в категории «НКО»,services,268,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
21bfb47f-486c-46aa-9beb-31ea2851c7e1,Наличные,Кэшбэк за покупки в категории «Наличные»,services,274,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
06f216b0-3097-44fe-b1c6-47ce615f51a3,Образование,Кэшбэк за покупки в категории «Образование»,services,280,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
150926f6-ed1a-48ca-ab0e-f422f2a30c70,Одежда и обувь,Кэшбэк за покупки в категории «Одежда и обувь»,fashion,287,3,15,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
a8ed3778-8cfa-473d-b2b6-13a602c31a90,Онлайн-кинотеатры,Кэшбэк за покупки в категории «Онлайн-кинотеатры»,games,293,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
556d773b-b768-44de-be02-a8fdd9329ab0,Отели,Кэшбэк за покупки в категории «Отели»,services,300,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
95a79ef3-98a2-4280-8f20-97b0968012a0,Охрана,Кэшбэк за покупки в категории «Охрана»,services,306,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
11e0ae71-19f3-46e6-a3d0-855450e6c0a0,Парковки,Кэшбэк за покупки в категории «Парковки»,auto,313,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
8879a546-fe69-430b-89c5-62527d5a56f0,Переводы,Кэшбэк за покупки в категории «Переводы»,services,319,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
29608c55-a51a-47db-a56e-bd923071b71b,Платные дороги,Кэшбэк за покупки в категории «Платные дороги»,auto,326,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
cfb0c156-b2cb-40e3-ac90-5826f53d5a29,Подарки и творчество,Кэшбэк за покупки в категории «Подарки и творчество»,gifts,332,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
e03dfb73-ae56-4808-a6ea-620f121ce6ca,Развлечения,Кэшбэк за покупки в категории «Развлечения»,games,339,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
0f33dcf7-9e05-4af5-b17f-a7b760c91c42,Различные товары,Кэшбэк за покупки в категории «Различные товары»,retail,345,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
55e9a6f8-b91c-43e8-b166-2e7cb3a87fa3,Различные услуги,Кэшбэк за покупки в категории «Различные услуги»,services,352,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
68bac38f-bd8e-4b31-9639-11d99edf9ce3,Ремонт и мебель,Кэшбэк за покупки в категории «Ремонт и мебель»,home,358,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
cbb82399-ced1-45de-91c2-9f293339964d,Рестораны,Кэшбэк за покупки в категории «Рестораны»,food,365,3,30,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
606dbe94-9fc8-4324-98e3-b777cf3afd19,Самокаты,Кэшбэк за покупки в категории «Самокаты»,auto,371,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
834145f2-aaf6-4f4f-9038-4ba937174b72,Связь,Кэшбэк за покупки в категории «Связь»,services,377,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
c72f84be-23b4-4c69-8de5-168fcaf784e1,Сервис,Кэшбэк за покупки в категории «Сервис»,services,384,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
33b450e9-4939-4d79-b732-f9ab3bc424bb,Спорттовары,Кэшбэк за покупки в категории «Спорттовары»,sports,390,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
953656da-3382-4fed-9016-d6ade522d914,Супермаркеты,Кэшбэк за покупки в категории «Супермаркеты»,retail,397,3,30,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
d15379b6-ca96-47e8-a76f-9d4d2add2520,Такси,Кэшбэк за покупки в категории «Такси»,services,403,3,30,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
aebfafc8-1d9e-4c28-8c0b-49450210aa80,Тренировки,Кэшбэк за покупки в категории «Тренировки»,sports,410,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
929ddf02-d2ab-4782-97d7-3213ff3f9570,Турагентства,Кэшбэк за покупки в категории «Турагентства»,services,416,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
f878eda4-491e-4870-bb83-14780581d472,Фастфуд,Кэшбэк за покупки в категории «Фастфуд»,food,423,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
993e128b-ab54-49f3-9738-6beecb690199,Финансы,Кэшбэк за покупки в категории «Финансы»,services,429,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
642103dd-724a-4e62-aefc-ba21663ae090,Фото и копицентры,Кэшбэк за покупки в категории «Фото и копицентры»,services,436,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
31684b44-99a0-4030-a8cb-475d3a05d010,Цветы,Кэшбэк за покупки в категории «Цветы»,gifts,442,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
1a77e3a2-87a4-4633-8418-988551bec9fd,Цифровые товары,Кэшбэк за покупки в категории «Цифровые товары»,tech,448,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
8bbc5382-8b03-42c5-8ce3-b92fb43790a7,Штрафы,Кэшбэк за покупки в категории «Штрафы»,services,455,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
7b03a020-1bed-42b2-a15e-12ededad370e,Экосистема Сбер,Кэшбэк за покупки в категории «Экосистема Сбер»,services,461,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
26f771fb-00b1-409d-9df1-5eb29bf59082,Экосистема Яндекс,Кэшбэк за покупки в категории «Экосистема Яндекс»,services,468,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
83e7534a-dc15-4629-bbbc-973bc1c597cc,Ювелирные изделия и часы,Кэшбэк за покупки в категории «Ювелирные изделия и часы»,gifts,500,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
